treatment,participant.id_in_session,participant.code,player.id_in_group,player.random_block,player.random_order,control_question1,control_question2,alternative1,policy_choice,Price_UR_A,Price_UN_A,Price_O_A,EV_A,Revenue_A,Price_UR_B,Price_UN_B,Price_O_B,EV_B,Revenue_B,attributes_binary_1,attributes_binary_2,attributes_binary_3,attributes_binary_4,attributes_binary_5,subsession.round_number,session.code
Social Norm,35,coa5za4o,35,5.0,531647502.0,,,,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,2,2lf8iml1
Baseline,36,1dtj1oad,36,4.0,443276015.0,,,,1.0,2.0,1.0,1.0,2.0,2.0,4.0,2.0,4.0,3.0,4.0,,,,,,2,2lf8iml1
Pollution,37,mi5e379o,37,7.0,741503627.0,,,,1.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,2,2lf8iml1
Public Services,38,lbw72pg8,38,6.0,641305627.0,,,,3.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,,,,,,2,2lf8iml1
Road Pricing,39,1qq9pbma,39,7.0,720654317.0,,,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,2,2lf8iml1
Social Norm,40,6gp7y3ye,40,7.0,707413625.0,,,,3.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,,,,,,2,2lf8iml1
Baseline,41,4620ro3l,41,1.0,103617425.0,,,,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,2,2lf8iml1
Pollution,42,2x2js4b1,42,0.0,47361250.0,,,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,2,2lf8iml1
Public Services,43,agjjv68b,43,6.0,626570341.0,,,,3.0,2.0,2.0,2.0,4.0,5.0,3.0,1.0,1.0,1.0,2.0,,,,,,2,2lf8iml1
Road Pricing,44,upf8ed0o,44,2.0,224156037.0,,,,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,2,2lf8iml1
Social Norm,45,sv5rbzw2,45,2.0,262143750.0,,,,2.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,,,,,,2,2lf8iml1
Baseline,46,qcbd7hx4,46,1.0,101243765.0,,,,2.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,,,,,,2,2lf8iml1
Pollution,47,22q5t8ym,47,0.0,21407365.0,,,,1.0,4.0,2.0,1.0,3.0,2.0,3.0,4.0,3.0,1.0,4.0,,,,,,2,2lf8iml1
Public Services,48,5k6w1v0s,48,2.0,225706134.0,,,,1.0,4.0,2.0,2.0,2.0,3.0,1.0,1.0,4.0,3.0,5.0,,,,,,2,2lf8iml1
Road Pricing,49,7q1hvcvw,49,2.0,264021537.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,2,2lf8iml1
Social Norm,50,frepaiwn,50,4.0,413270564.0,,,,2.0,4.0,2.0,4.0,3.0,4.0,2.0,1.0,1.0,2.0,2.0,,,,,,2,2lf8iml1
Baseline,51,syp06wkt,51,7.0,740712653.0,,,,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,4.0,4.0,,,,,,2,2lf8iml1
Pollution,52,f9jbykzb,52,6.0,636572104.0,,,,1.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,,,,,,2,2lf8iml1
Public Services,53,rwuy8jm4,53,1.0,120314675.0,,,,3.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,,,2,2lf8iml1
Road Pricing,54,ahvyg7u9,54,7.0,753164027.0,,,,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,,,,,,2,2lf8iml1
Social Norm,55,75aw7pog,55,3.0,351263047.0,,,,3.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,2,2lf8iml1
Baseline,56,rpczrw41,56,2.0,274210653.0,,,,1.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,2,2lf8iml1
Pollution,57,3k4s9wum,57,4.0,460243175.0,,,,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,2,2lf8iml1
Public Services,58,7ta5e9pr,58,6.0,632701654.0,,,,3.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,2,2lf8iml1
Road Pricing,59,fk9mggvd,59,3.0,317423560.0,,,,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,,,,,,2,2lf8iml1
Social Norm,60,uycpcdrb,60,4.0,464015732.0,,,,1.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,,,,,,2,2lf8iml1
Baseline,61,6800e6dn,61,6.0,640276513.0,,,,2.0,2.0,2.0,2.0,2.0,2.0,3.0,1.0,3.0,1.0,5.0,,,,,,2,2lf8iml1
Pollution,62,1yk1x5x8,62,7.0,714062573.0,,,,1.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,2,2lf8iml1
Public Services,63,838eq5dh,63,0.0,6734251.0,,,,1.0,2.0,2.0,1.0,2.0,3.0,3.0,1.0,2.0,4.0,4.0,,,,,,2,2lf8iml1
Road Pricing,64,wv4ulpsv,64,2.0,254613270.0,,,,2.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,3.0,,,,,,2,2lf8iml1
Social Norm,65,nzv4fh3l,65,2.0,276351204.0,,,,2.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,2,2lf8iml1
Baseline,66,qfjc5hk1,66,3.0,360732154.0,,,,3.0,4.0,3.0,2.0,4.0,5.0,3.0,4.0,3.0,2.0,1.0,,,,,,2,2lf8iml1
Pollution,67,rpudlr27,67,4.0,450716423.0,,,,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,2,2lf8iml1
Public Services,68,wbthyd6j,68,7.0,706273154.0,,,,1.0,3.0,1.0,2.0,2.0,5.0,4.0,3.0,1.0,3.0,3.0,,,,,,2,2lf8iml1
Road Pricing,69,hfod0wg1,69,3.0,342135076.0,,,,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,2,2lf8iml1
Baseline,71,d23woyxn,71,3.0,305367412.0,,,,3.0,3.0,2.0,2.0,1.0,1.0,2.0,1.0,4.0,4.0,2.0,,,,,,2,2lf8iml1
Pollution,72,7eiez12c,72,4.0,464257031.0,,,,3.0,4.0,2.0,4.0,1.0,1.0,3.0,3.0,3.0,4.0,3.0,,,,,,2,2lf8iml1
Public Services,73,0xs8g5ll,73,0.0,4256713.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,2,2lf8iml1
Road Pricing,74,lotr8ql4,74,1.0,126340715.0,,,,3.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,2,2lf8iml1
Baseline,76,50e2mzzw,76,1.0,124753601.0,,,,1.0,2.0,1.0,2.0,4.0,4.0,4.0,2.0,4.0,2.0,5.0,,,,,,2,2lf8iml1
Pollution,77,r15j5hvf,77,3.0,361057234.0,,,,1.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,,,,,,2,2lf8iml1
Public Services,78,xy0lli8b,78,7.0,721743605.0,,,,1.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,2,2lf8iml1
Social Norm,80,47tu19lp,80,3.0,302371645.0,,,,1.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,2,2lf8iml1
Baseline,81,ms30m19j,81,1.0,116305472.0,,,,2.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,2,2lf8iml1
Pollution,82,a27r077p,82,7.0,750367124.0,,,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,2,2lf8iml1
Public Services,83,6zolkqhe,83,7.0,734560217.0,,,,3.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,2,2lf8iml1
Road Pricing,84,x3awvd5j,84,0.0,7361542.0,,,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,2,2lf8iml1
Social Norm,85,ehspbg9y,85,2.0,250463712.0,,,,3.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,2,2lf8iml1
Baseline,86,029z3dj5,86,2.0,224136750.0,,,,2.0,3.0,2.0,3.0,2.0,5.0,2.0,1.0,2.0,1.0,3.0,,,,,,2,2lf8iml1
Pollution,87,qf73ejh2,87,2.0,246051372.0,,,,1.0,4.0,4.0,1.0,1.0,3.0,3.0,3.0,3.0,4.0,2.0,,,,,,2,2lf8iml1
Public Services,88,3483pxq6,88,2.0,230752461.0,,,,1.0,2.0,1.0,1.0,2.0,4.0,4.0,2.0,3.0,3.0,1.0,,,,,,2,2lf8iml1
Road Pricing,89,a1y6lpn8,89,6.0,635671240.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,2,2lf8iml1
Social Norm,90,v8xoii7u,90,4.0,464715230.0,,,,1.0,3.0,3.0,3.0,4.0,3.0,4.0,2.0,4.0,1.0,1.0,,,,,,2,2lf8iml1
Baseline,91,0jquzxbb,91,7.0,725047163.0,,,,1.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,2,2lf8iml1
Pollution,92,hta0lh8i,92,4.0,470325461.0,,,,2.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,2,2lf8iml1
Public Services,93,cka5nhzf,93,1.0,130426517.0,,,,2.0,2.0,1.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,3.0,,,,,,2,2lf8iml1
Road Pricing,94,0uzpul3x,94,2.0,202617534.0,,,,1.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,,,,,,2,2lf8iml1
Social Norm,95,a9anb1bo,95,0.0,7453612.0,,,,1.0,3.0,1.0,1.0,3.0,4.0,1.0,1.0,3.0,2.0,5.0,,,,,,2,2lf8iml1
Baseline,96,h4b4yim5,96,,,,,,,,,,,,,,,,,,,,,,2,2lf8iml1
Pollution,97,mdprjoeo,97,7.0,723164570.0,,,,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,,,2,2lf8iml1
Public Services,98,mkevhs61,98,3.0,331042657.0,,,,3.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,2,2lf8iml1
Road Pricing,99,vrpni1if,99,7.0,725134607.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,2,2lf8iml1
Social Norm,100,gva8pxaw,100,4.0,461703425.0,,,,1.0,2.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,1.0,,,,,,2,2lf8iml1
Baseline,101,feimv38g,101,3.0,353126047.0,,,,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,,,,,,2,2lf8iml1
Public Services,103,9bfpp832,103,3.0,354637210.0,,,,1.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,,,,,,2,2lf8iml1
Road Pricing,104,hi7l35rx,104,4.0,432516047.0,,,,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,2,2lf8iml1
Social Norm,105,lm08pz14,105,6.0,674632150.0,,,,2.0,4.0,2.0,1.0,4.0,1.0,3.0,4.0,2.0,3.0,5.0,,,,,,2,2lf8iml1
Social Norm,110,62ij9lb3,110,3.0,351426307.0,,,,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,2.0,1.0,,,,,,2,2lf8iml1
Baseline,1,fa0lgio1,1,1.0,125734106.0,,,,3.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,,,,,,3,2lf8iml1
Pollution,2,xmx5q4c1,2,6.0,607236145.0,,,,3.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,3.0,3.0,4.0,,,,,,3,2lf8iml1
Public Services,3,c67lysj2,3,3.0,340751632.0,,,,1.0,1.0,1.0,2.0,4.0,1.0,3.0,3.0,1.0,1.0,5.0,,,,,,3,2lf8iml1
Road Pricing,4,q7ay2dyw,4,7.0,702163547.0,,,,3.0,3.0,4.0,4.0,2.0,2.0,1.0,1.0,3.0,1.0,5.0,,,,,,3,2lf8iml1
Social Norm,5,px6jzykt,5,0.0,60425371.0,,,,3.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,3,2lf8iml1
Baseline,6,e40ivckh,6,1.0,104327651.0,,,,2.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,,,,,,3,2lf8iml1
Pollution,7,pqshn95a,7,5.0,543501726.0,,,,3.0,3.0,4.0,2.0,4.0,2.0,4.0,3.0,3.0,2.0,1.0,,,,,,3,2lf8iml1
Public Services,8,3yqq014n,8,3.0,350723641.0,,,,1.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,,,,,,3,2lf8iml1
Road Pricing,9,lmax1dnp,9,6.0,617265430.0,,,,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,3,2lf8iml1
Social Norm,10,uz6r7y1o,10,5.0,543102765.0,,,,2.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,3,2lf8iml1
Baseline,11,5poonmd4,11,3.0,357206413.0,,,,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,3,2lf8iml1
Pollution,12,p62frwui,12,5.0,542317056.0,,,,2.0,2.0,1.0,4.0,3.0,1.0,3.0,2.0,1.0,4.0,2.0,,,,,,3,2lf8iml1
Road Pricing,14,z1wokq82,14,4.0,443701265.0,,,,2.0,2.0,1.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,1.0,,,,,,3,2lf8iml1
Social Norm,15,kst6pwde,15,2.0,212475036.0,,,,2.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,3,2lf8iml1
Baseline,16,n7d17j2o,16,7.0,715374062.0,,,,1.0,4.0,3.0,3.0,2.0,4.0,1.0,1.0,1.0,4.0,1.0,,,,,,3,2lf8iml1
Pollution,17,nh0e0dxo,17,3.0,326051437.0,,,,2.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,,,,,,3,2lf8iml1
Public Services,18,az8sbz33,18,6.0,652140763.0,,,,1.0,1.0,1.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,2.0,,,,,,3,2lf8iml1
Road Pricing,19,mfl4uw7h,19,5.0,573145206.0,,,,1.0,4.0,4.0,1.0,3.0,4.0,3.0,1.0,3.0,2.0,2.0,,,,,,3,2lf8iml1
Social Norm,20,hz14r7oj,20,7.0,701436257.0,,,,2.0,1.0,1.0,1.0,3.0,2.0,2.0,2.0,4.0,4.0,3.0,,,,,,3,2lf8iml1
Pollution,22,mchqhv52,22,0.0,51476230.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,3,2lf8iml1
Public Services,23,zb32d88s,23,4.0,447105236.0,,,,2.0,3.0,4.0,4.0,4.0,1.0,2.0,1.0,3.0,2.0,4.0,,,,,,3,2lf8iml1
Road Pricing,24,oyol3873,24,0.0,30425716.0,,,,2.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,3,2lf8iml1
Social Norm,25,fuwhzhca,25,1.0,146275310.0,,,,3.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,,,,,,3,2lf8iml1
Baseline,26,kq4x3e9z,26,2.0,252417306.0,,,,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,3,2lf8iml1
Pollution,27,zbdm1uut,27,1.0,170136245.0,,,,1.0,2.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,2.0,5.0,,,,,,3,2lf8iml1
Public Services,28,bgot6tf1,28,2.0,207236514.0,,,,1.0,3.0,4.0,3.0,1.0,3.0,4.0,3.0,1.0,3.0,4.0,,,,,,3,2lf8iml1
Road Pricing,29,yve5slih,29,5.0,510456723.0,,,,2.0,4.0,1.0,3.0,1.0,3.0,3.0,3.0,2.0,3.0,1.0,,,,,,3,2lf8iml1
Social Norm,30,m9i0j1z8,30,5.0,523016754.0,,,,2.0,2.0,2.0,3.0,3.0,3.0,4.0,3.0,2.0,2.0,1.0,,,,,,3,2lf8iml1
Baseline,31,6zltsyae,31,4.0,474621350.0,,,,1.0,3.0,3.0,2.0,3.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,3,2lf8iml1
Pollution,32,knvtxixl,32,3.0,301263574.0,,,,2.0,4.0,1.0,2.0,1.0,4.0,2.0,2.0,3.0,3.0,3.0,,,,,,3,2lf8iml1
Public Services,33,wi35em2p,33,1.0,164201735.0,,,,1.0,4.0,4.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,3.0,,,,,,3,2lf8iml1
Road Pricing,34,35iqfvy9,34,5.0,523456017.0,,,,2.0,3.0,3.0,2.0,3.0,1.0,4.0,1.0,3.0,1.0,3.0,,,,,,3,2lf8iml1
Social Norm,35,coa5za4o,35,5.0,531647502.0,,,,1.0,4.0,1.0,2.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,,,,,3,2lf8iml1
Baseline,36,1dtj1oad,36,4.0,443276015.0,,,,1.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,3,2lf8iml1
Pollution,37,mi5e379o,37,7.0,741503627.0,,,,2.0,2.0,1.0,2.0,1.0,1.0,3.0,2.0,4.0,3.0,3.0,,,,,,3,2lf8iml1
Public Services,38,lbw72pg8,38,6.0,641305627.0,,,,2.0,4.0,4.0,3.0,3.0,4.0,3.0,3.0,2.0,1.0,3.0,,,,,,3,2lf8iml1
Road Pricing,39,1qq9pbma,39,7.0,720654317.0,,,,2.0,4.0,3.0,1.0,3.0,3.0,3.0,1.0,2.0,2.0,5.0,,,,,,3,2lf8iml1
Social Norm,40,6gp7y3ye,40,7.0,707413625.0,,,,2.0,2.0,2.0,4.0,4.0,3.0,1.0,1.0,1.0,3.0,2.0,,,,,,3,2lf8iml1
Baseline,41,4620ro3l,41,1.0,103617425.0,,,,2.0,3.0,4.0,1.0,2.0,1.0,4.0,3.0,2.0,1.0,5.0,,,,,,3,2lf8iml1
Pollution,42,2x2js4b1,42,0.0,47361250.0,,,,2.0,3.0,1.0,1.0,3.0,3.0,2.0,2.0,4.0,1.0,4.0,,,,,,3,2lf8iml1
Public Services,43,agjjv68b,43,6.0,626570341.0,,,,3.0,4.0,4.0,3.0,4.0,5.0,1.0,1.0,4.0,1.0,2.0,,,,,,3,2lf8iml1
Road Pricing,44,upf8ed0o,44,2.0,224156037.0,,,,1.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,,,,,,3,2lf8iml1
Social Norm,45,sv5rbzw2,45,2.0,262143750.0,,,,2.0,3.0,4.0,4.0,4.0,3.0,1.0,1.0,3.0,2.0,4.0,,,,,,3,2lf8iml1
Baseline,46,qcbd7hx4,46,1.0,101243765.0,,,,2.0,1.0,1.0,2.0,2.0,3.0,4.0,4.0,1.0,1.0,2.0,,,,,,3,2lf8iml1
Pollution,47,22q5t8ym,47,0.0,21407365.0,,,,1.0,3.0,4.0,3.0,4.0,4.0,1.0,1.0,4.0,1.0,5.0,,,,,,3,2lf8iml1
Public Services,48,5k6w1v0s,48,2.0,225706134.0,,,,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,,,,,,3,2lf8iml1
Road Pricing,49,7q1hvcvw,49,2.0,264021537.0,,,,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,3,2lf8iml1
Social Norm,50,frepaiwn,50,4.0,413270564.0,,,,3.0,2.0,1.0,4.0,3.0,1.0,4.0,2.0,2.0,2.0,4.0,,,,,,3,2lf8iml1
Baseline,51,syp06wkt,51,7.0,740712653.0,,,,1.0,2.0,2.0,4.0,4.0,2.0,3.0,4.0,1.0,1.0,3.0,,,,,,3,2lf8iml1
Pollution,52,f9jbykzb,52,6.0,636572104.0,,,,2.0,1.0,1.0,4.0,1.0,2.0,4.0,4.0,3.0,4.0,5.0,,,,,,3,2lf8iml1
Public Services,53,rwuy8jm4,53,1.0,120314675.0,,,,3.0,1.0,1.0,1.0,2.0,4.0,4.0,1.0,4.0,3.0,2.0,,,,,,3,2lf8iml1
Road Pricing,54,ahvyg7u9,54,7.0,753164027.0,,,,1.0,1.0,1.0,3.0,1.0,5.0,3.0,4.0,4.0,2.0,2.0,,,,,,3,2lf8iml1
Social Norm,55,75aw7pog,55,3.0,351263047.0,,,,3.0,2.0,2.0,3.0,3.0,3.0,4.0,1.0,2.0,1.0,4.0,,,,,,3,2lf8iml1
Baseline,56,rpczrw41,56,2.0,274210653.0,,,,2.0,4.0,3.0,1.0,3.0,4.0,3.0,4.0,3.0,1.0,3.0,,,,,,3,2lf8iml1
Pollution,57,3k4s9wum,57,4.0,460243175.0,,,,2.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,3,2lf8iml1
Public Services,58,7ta5e9pr,58,6.0,632701654.0,,,,1.0,4.0,4.0,3.0,4.0,5.0,3.0,1.0,4.0,1.0,3.0,,,,,,3,2lf8iml1
Road Pricing,59,fk9mggvd,59,3.0,317423560.0,,,,2.0,4.0,3.0,1.0,4.0,1.0,3.0,2.0,2.0,3.0,2.0,,,,,,3,2lf8iml1
Social Norm,60,uycpcdrb,60,4.0,464015732.0,,,,1.0,2.0,2.0,1.0,3.0,4.0,4.0,1.0,3.0,4.0,1.0,,,,,,3,2lf8iml1
Baseline,61,6800e6dn,61,6.0,640276513.0,,,,1.0,3.0,1.0,3.0,3.0,4.0,4.0,4.0,2.0,1.0,2.0,,,,,,3,2lf8iml1
Pollution,62,1yk1x5x8,62,7.0,714062573.0,,,,2.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,3,2lf8iml1
Public Services,63,838eq5dh,63,0.0,6734251.0,,,,1.0,1.0,1.0,3.0,2.0,5.0,3.0,1.0,1.0,3.0,4.0,,,,,,3,2lf8iml1
Road Pricing,64,wv4ulpsv,64,2.0,254613270.0,,,,2.0,3.0,3.0,3.0,4.0,2.0,4.0,4.0,1.0,1.0,3.0,,,,,,3,2lf8iml1
Social Norm,65,nzv4fh3l,65,2.0,276351204.0,,,,2.0,1.0,1.0,1.0,2.0,3.0,3.0,2.0,4.0,1.0,1.0,,,,,,3,2lf8iml1
Baseline,66,qfjc5hk1,66,3.0,360732154.0,,,,3.0,3.0,3.0,1.0,1.0,5.0,1.0,1.0,2.0,4.0,1.0,,,,,,3,2lf8iml1
Pollution,67,rpudlr27,67,4.0,450716423.0,,,,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,,,,,,3,2lf8iml1
Public Services,68,wbthyd6j,68,7.0,706273154.0,,,,3.0,3.0,3.0,4.0,1.0,4.0,4.0,1.0,2.0,3.0,3.0,,,,,,3,2lf8iml1
Road Pricing,69,hfod0wg1,69,3.0,342135076.0,,,,1.0,4.0,4.0,4.0,2.0,1.0,3.0,2.0,3.0,1.0,2.0,,,,,,3,2lf8iml1
Baseline,71,d23woyxn,71,3.0,305367412.0,,,,1.0,2.0,2.0,1.0,3.0,5.0,3.0,3.0,4.0,2.0,3.0,,,,,,3,2lf8iml1
Pollution,72,7eiez12c,72,4.0,464257031.0,,,,3.0,4.0,2.0,2.0,2.0,4.0,2.0,1.0,4.0,3.0,1.0,,,,,,3,2lf8iml1
Public Services,73,0xs8g5ll,73,0.0,4256713.0,,,,2.0,4.0,3.0,4.0,2.0,3.0,3.0,2.0,1.0,1.0,5.0,,,,,,3,2lf8iml1
Road Pricing,74,lotr8ql4,74,1.0,126340715.0,,,,3.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,3,2lf8iml1
Baseline,76,50e2mzzw,76,1.0,124753601.0,,,,2.0,3.0,2.0,1.0,2.0,1.0,4.0,4.0,3.0,1.0,2.0,,,,,,3,2lf8iml1
Pollution,77,r15j5hvf,77,3.0,361057234.0,,,,2.0,3.0,4.0,3.0,2.0,1.0,4.0,3.0,2.0,4.0,5.0,,,,,,3,2lf8iml1
Public Services,78,xy0lli8b,78,7.0,721743605.0,,,,1.0,3.0,4.0,1.0,1.0,3.0,2.0,2.0,4.0,4.0,2.0,,,,,,3,2lf8iml1
Social Norm,80,47tu19lp,80,3.0,302371645.0,,,,2.0,3.0,3.0,4.0,2.0,3.0,2.0,2.0,1.0,3.0,5.0,,,,,,3,2lf8iml1
Baseline,81,ms30m19j,81,1.0,116305472.0,,,,2.0,4.0,1.0,4.0,3.0,2.0,1.0,1.0,1.0,2.0,4.0,,,,,,3,2lf8iml1
Pollution,82,a27r077p,82,7.0,750367124.0,,,,2.0,1.0,1.0,1.0,4.0,1.0,4.0,3.0,3.0,2.0,4.0,,,,,,3,2lf8iml1
Public Services,83,6zolkqhe,83,7.0,734560217.0,,,,3.0,3.0,2.0,4.0,3.0,3.0,2.0,1.0,2.0,1.0,1.0,,,,,,3,2lf8iml1
Road Pricing,84,x3awvd5j,84,0.0,7361542.0,,,,2.0,2.0,2.0,4.0,1.0,4.0,3.0,1.0,1.0,3.0,3.0,,,,,,3,2lf8iml1
Social Norm,85,ehspbg9y,85,2.0,250463712.0,,,,3.0,2.0,1.0,2.0,1.0,3.0,3.0,2.0,3.0,2.0,5.0,,,,,,3,2lf8iml1
Baseline,86,029z3dj5,86,2.0,224136750.0,,,,1.0,1.0,1.0,3.0,2.0,4.0,3.0,4.0,4.0,4.0,3.0,,,,,,3,2lf8iml1
Pollution,87,qf73ejh2,87,2.0,246051372.0,,,,2.0,4.0,2.0,3.0,3.0,1.0,2.0,1.0,1.0,2.0,4.0,,,,,,3,2lf8iml1
Public Services,88,3483pxq6,88,2.0,230752461.0,,,,2.0,3.0,1.0,4.0,4.0,4.0,4.0,3.0,2.0,3.0,2.0,,,,,,3,2lf8iml1
Road Pricing,89,a1y6lpn8,89,6.0,635671240.0,,,,2.0,3.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,4.0,5.0,,,,,,3,2lf8iml1
Social Norm,90,v8xoii7u,90,4.0,464715230.0,,,,2.0,4.0,4.0,3.0,1.0,1.0,2.0,1.0,4.0,4.0,5.0,,,,,,3,2lf8iml1
Baseline,91,0jquzxbb,91,7.0,725047163.0,,,,1.0,1.0,1.0,1.0,4.0,4.0,2.0,1.0,2.0,3.0,1.0,,,,,,3,2lf8iml1
